index,actor,detail
52,John Cleese,Exactly. Well we interviewers are more than a match for the likes of you* 'Two Sheds'.
53,John Cleese,Get your own Arts programme* you fairy!
54,John Cleese,Oh* Michael* you are such a comfort.
55,Michael Palin,Arthur 'Two Sheds'...
56,John Cleese,...Jackson.
57,Michael Palin,And now for more news of the momentous artistic event in which Pablo Picasso is doing a specially commissioned painting for us whilst riding a bicycle. Pablo Picasso - the founder of modern art - without doubt the greatest abstract painter ever... for the first time painting in motion. But first of all let's have a look at the route he'll be taking.
58,Michael Palin,Well Picasso will be starting* David* at Chichester here* he'll then cycle on the A29 to Fontwell* he'll then take the A272 which will bring him on to the A3 just north of Hindhead here. From then on Pablo has a straight run on the A3 until he meets the South Circular at Battersea here. Well* this is a truly remarkable occasion as it is the first time that a modern artist of such stature has taken the A272* and it'll be very interesting to see how he copes with the heavy traffic round Wisborough Green. Vicky.
59,Michael Palin,And now for the latest report on Picasso's progress over to Reg Moss on the Guildford by-pass.
60,Michael Palin,Well* we've just heard that Picasso is approaching the Tolworth roundabout on the A3 so come in Sam Trench at Tolworth.
61,John Cleese,Well something certainly is happening here at Tolworth roundabout* David. I can now see Picasso* he's cycling down very hard towards the roundabout* he's about 75-50 yards away and I can now see his painting... it's an abstract... I can see some blue some purple and some little black oval shapes... I think I can see...
62,Michael Palin,That's not Picasso - that's Kandinsky.
63,John Cleese,Piet Mondrian - just behind* Piet Mondrian the Neo-Plasticist* and then a gap* then the main bunch* here they come* Chagall* Max Ernst* Miro* Dufy* Ben Nicholson* Jackson Pollock and Bernard Buffet making a break on the outside here* Brancusi's going with him* so is Gericault* Ferdinand Leger* Delaunay* De Kooning* Kokoschka's dropping back here by the look of it* and so's Paul Klee dropping back a bit and* right at the back of this group* our very own Kurt Schwitters..
64,Michael Palin,He's German!
65,John Cleese,But as yet absolutely no sign of Pablo Picasso* and so from Tolworth roundabout back to the studio.
66,Michael Palin,Well I think I can help you there Sam* we're getting reports in from the AA that Picasso* Picasso has fallen off...he's fallen off his bicycle on the B2127 just outside Ewhurst* trying to get a short cut through to Dorking via Gomslake and Peashall. Well* Picasso is reported to be unhurt* but the pig has a slight headache. And on that note we must say goodnight to you. Picasso has failed in his first bid for international cycling fame. So from all of us here at the 'It's the Arts' studio* it's goodnight. Goodnight.
67,Michael Palin,Porker* eh? Swine.
68,John Cleese,Vott is the big joke?
69,Michael Palin,I can only give you name* rank* and why did the chicken cross the road?
70,John Cleese,That's not funny!
71,John Cleese,I vant to know the joke.
72,Michael Palin,All right. How do you make a Nazi cross?
73,John Cleese,I don't know ... how do you make a Nazi cross?
74,Michael Palin,Tread on his corns.
75,John Cleese,Gott in Himmel! That's not funny!
76,John Cleese,Now if you don't tell me the joke* I shall hit you properly.
77,Michael Palin,I can stand physical pain* you know.
78,John Cleese,Ah ... you're no fun. All right* Otto.
79,Michael Palin,Oh no - anything but that please no* all right I'll tell you.
80,John Cleese,Quick Otto. The typewriter.
81,Michael Palin,Wenn ist das Nunstruck git und Slotermeyer? Ja! ... Beiherhund das Oder die Flipperwaldt gersput.
82,John Cleese,Ach! Zat iss not funny!
83,Michael Palin,It's...
84,John Cleese,Monty Python's Flying Circus.
85,John Cleese,Bonsoir - ici nous avons les diagrammes modernes d'un mouton anglo-français ... maintenant ... baa-aa* baa-aa... nous avons* dans la tête* le cabinc. Ici* on se trouve le petit capitaine Anglais* Monsieur Trubshawe.
86,Michael Palin,Vive Brian* wherever you are.
87,John Cleese,D'accord* d'accord. Maintenant* je vous présente mon collègue* le pouf célèbre* Jean-Brian Zatapathique.
88,Michael Palin,Maintenant* le mouton ... le landing ... les wheels* bon.
89,John Cleese,Bon* les wheels* ici.
90,Michael Palin,C'est formidable* n'est ce pas ...
91,John Cleese,Les voyageurs ... les bagages ... ils sont ... ici!
92,Michael Palin,All over yes.
93,John Cleese,So do I.
94,Michael Palin,Me too.
95,Michael Palin,Jean-Paul Sartre.
96,John Cleese,Good evening* I have with me* Mr Arthur Frampton* who has...Mr. Frampton* I understand that you...er...as it were...have er...well* let me put it another way...I believe Mr. Frampton that whereas most people have - er - two...two...you...you
97,John Cleese,Ah yes* yes I see...Um* Are you quite comfortable?
98,John Cleese,Er* Mr Frampton... vis-à-vis...your...rump.
99,John Cleese,Er* your rump.
100,John Cleese,Your posterior....derriere...sit upon.
101,John Cleese,...Buttocks.
102,John Cleese,Sshhh! Well Mr. Frampton I understand Mr Frampton* you have a... 50% bonus in the...in the region of what you said.
103,John Cleese,Yes* yes* Splendid* splendid. Well...we were wondering* Mr Frampton* if you...could...see your way clear...
104,John Cleese,Er* nothing* nothing at all* sir. We were wondering if you could see your way clear...to giving us...a quick... a quick... visual... Mr Frampton* will you take your trousers down?
105,John Cleese,Please take them down.
106,John Cleese,Just a little bit.
107,John Cleese,No* er ahem...
108,John Cleese,Now look here Mr Frampton... It's perfectly easy for somebody just to come along here to the BBC simply claiming... that they have a bit to spare in the botty department...but the point is Mr. Frampton... our viewers need proof.
109,John Cleese,How?
110,John Cleese,Good evening* I have with me* Mr Arthur Frampton* who... Mr. Frampton - I understand that you* as it were...well* let me put it another way...I believe Mr. Frampton that whereas most people...didn't we do this just now?
111,John Cleese,Well why didn't you
112,John Cleese,so?
113,John Cleese,He's not here yet!
114,Michael Palin,Ladies and gentlemen isn't she just great eh* wasn't she just great. Ha* ha* ha* and she can run as fast as she can sing* ha* ha* ha. And I'm telling you - 'cos I know. No* only kidding. Ha* ha* ha. Seriously now* ladies and gentlemen* we have for you one of the most unique acts in the world today. He's...well I'll say no more* just let you see for yourselves...ladies and gentlemen* my very great priviledge to introduve Arthur Ewing* and his musical mice.
115,Michael Palin,Are you the marriage guidance counsellor?
116,Michael Palin,Good morning* sir
117,Michael Palin,Mr and Mrs Arthur Pewtey* Pewtey.
118,Michael Palin,It's Deirdre
119,Michael Palin,Well* it all started about five years ago when we started going on holiday to Brighton together. Deirdre* that's my wife* has always been a jolly good companion to me and I never particularly anticipated any marital strife - indeed the very idea of consulting a professional marital adviser has always been of the greatest repugnance to me although far be it from me to impugn the nature of your trade or profession
120,Michael Palin,Well* as I say* we've always been good friends* sharing the interests* the gardening and so on* the model aeroplanes* the sixpenny bottle for the holiday money* and indeed twice a month settling down in the evenings doing the accounts* something which* er* Deirdre* Deirdre that's my wife* er* particularly looked forward to on account of her feet
121,Michael Palin,I should probably have said at the outset that I'm noted for having something of a sense of humour* although I have kept myself very much to myself over the last two years notwithstanding* as it were* and it's only as comparatively recently that I began to realize - well* er prehaps realize is not the correct word* er* imagine* imagine* that I was not the only thing in her life
122,Michael Palin,Well yes - at first* frankly yes
123,Michael Palin,Her behaviour did seem at the time to me* who after all was there to see* to be a little odd.
124,Michael Palin,Yes well* I mean to a certain extent yes. I'm not by nature a suspicious person - far from it - though in fact I have something of a reputation as an after-dinner speaker* if you take my meaning....
125,Michael Palin,Anyway in the area where I'm known people in fact know me extremely well....
126,Michael Palin,Certainly yes
127,Michael Palin,Anyway* as I said* I decided to face up to the facts and stop beating about the bush or I'd never look myself in the bathroom mirror again.
128,Michael Palin,No* no* right-ho* fine. Yes I'll wait outside shall I?...
129,Michael Palin,Yes* well that's p'raps the best things. Yes. You've certainly put my mind at rest on one or two points* there.
130,John Cleese,Now wait there stranger. A man can run and run for year after year until he realizes      that what he's running from...is hisself
131,Michael Palin,Gosh.
132,John Cleese,A man's got to do what a man's got to do* and there ain't no sense in runnin'. Now      you gotta turn* and you gotta fight* and you gotta hold your head up high.
133,Michael Palin,Yes!
134,John Cleese,Now you go back in there my son and be a man. Walk tall.
135,Michael Palin,Yes* I will. I will. I've been pushed around long enough. This is it. This is your monent Arthur Pewtey - this is it Arthur Pewtey. At last you're a man!
136,Michael Palin,All right* Dierdre* come out of there
137,Michael Palin,Right. Right.
138,John Cleese,So much for pathos.
139,John Cleese,These historic pictures of Queen Victoria* taken in 1880 at Osborne show the Queen with Gladstone. This unique film provides a rare glimpse into the private world of a woman who ruled half the earth. The commentary* recorded on the earliest wax cylinders* is spoken by Alfred Lord Tennyson* the Poet Laureate.
140,Michael Palin,Well hello* it's the wacky Queen again!
141,Michael Palin,Well* that's one way to get the housework done!
142,Michael Palin,Oh shut up!
143,Michael Palin,And now for something completely different ... a man with three buttocks...
144,Michael Palin,Oh all right. All right! A man with nine legs.
145,John Cleese,He ran away.
146,Michael Palin,Oh... Bloody Hell! Er ... a Scotsman on a horse!
147,Michael Palin,Harold! Come back* Harold! Harold! Come back* Harold! Oh* blast!
148,John Cleese,Good evening* and welcome once again to the Epilogue. On the programme this evening we have Monsignor Edward Gay* visiting Pastoral Emissary of the Somerset Theological College and author of a number of books about belief* the most recent of which is the best seller 'My God'. And opposite him we have Dr Tom Jack: humanist* broadcaster* lecturer and author of the book 'Hello Sailor'. Tonight* instead of discussing the existence or non-existence of God* they have decided to fight for it. The existence* or non-existence* to be determined by two falls* two submissions* or a knockout. All right boys* let's get to it. Your master of ceremonies for this evening - Mr Arthur Waring.
149,John Cleese,Now Dr Jack's got a flying mare there. A flying mare there* and this is going to be a full body slam. A full body slam* and he's laying it in there* and he's standing back. Well .. there we are leaving the Epilogue for the moment* we'll be bringing you the result of this discussion later on in the programme.
150,John Cleese,Oh my God!
151,Michael Palin,Yes. The Mouse Problem. This week 'The World Around Us' looks at the growing social phenomenon of Mice and Men. What makes a man want to be a mouse.
152,John Cleese,Well it's not a question of wanting to be a mouse... it just sort of happens to you. All of a sudden you realize... that's what you want to be.
153,John Cleese,Well... I was about seventeen and some mates and me went to a party* and* er...      we had quite a lot to drink... and then some of the fellows there ... started handing ... cheese      around ... and well just out of curiosity I tried a bit ... and well that was that.
154,John Cleese,Well some of them started dressing up as mice a bit ... and then when they'd got      the costumes on they started ... squeaking.
155,John Cleese,That was all.
156,John Cleese,Well I was shocked. But* er... gradually I came to feel that I was more at ease ... with other mice.
157,Michael Palin,A typical case* whom we shall refer to as Mr A* although his real name is this:
158,Michael Palin,What is it that attracts someone like mr. A to this way of life? I have with me a consultant psychiatrist.
159,Michael Palin,Well* that's amazing* amazing. Thank you* Janet.
160,Michael Palin,Kargol* speaking as a psychiatrist as opposed to a conjuror...
161,Michael Palin,...what makes certain men want to be mice?
162,Michael Palin,The Amazing Kargol And Janet.  What a lot of people don't realize is that a mouse* once accepted* can fulfil a very useful role in society. Indeed there are examples throughout history of famous men now known to have been mice.
163,Michael Palin,And* of course* Hillaire Belloc. But what is the attitude...
164,Michael Palin,... this growing social problem?
165,John Cleese,Well speaking as a member of the Stock Exchange I would suck their brains out with a straw* sell the widows and orphans and go into South American Zinc.
166,John Cleese,I feel that these poor unfortunate people should be free to live the lives of their own choice.
167,Michael Palin,Clearly the British public's view is a hostile one.
168,Michael Palin,But perhaps this is because so little is generally known of these mice men. We have      some film now taken of one of the notorious weekend mouse parties* where these disgusting      little perverts meet.
169,Michael Palin,Mr A tells us what actually goes on at these mouse parties.
170,John Cleese,Well first of all you get shown to your own private hole in the skirting board... then you      put the mouse skin on... then you scurry into the main room* and perhaps take a run in the      wheel.
171,Michael Palin,The remainder of this film was taken secretly at one of these mouse parties by a      BBC cameraman posing as a vole. As usual we apologize for the poor quality of the film.
172,John Cleese,Well* er* then you steal some cheese* Brie or Camembert* or Cheddar or      Gouda* if you're on the harder stuff. You might go and see one of the blue cheese films...      there's a big clock in the middle of the room* and about 12:50 you climb up it and then      ...eventually* it strikes one... and you all run down.
173,Michael Palin,And what's that?
174,John Cleese,That's the farmer's wife.
175,Michael Palin,Perhaps we need to know more of these mice men before we can really judge      them. Perhaps not. Anyway* our thirty minutes are up.
176,Michael Palin,Goodnight.
177,John Cleese,And here is the result of the Epilogue: God exists by two falls to a submission
178,Michael Palin,It's...
179,John Cleese,Monty Python's Flying Circus.
180,John Cleese,EPISODE 12B'
181,John Cleese,The larch. The larch.
182,John Cleese,I'm sorry I'm late m'lud I couldn't find a kosher car park. Er... don't bother to recap m'lud* I'll pick it up as we go along. Call Mrs Fiona Lewis.
183,John Cleese,My next witness will explain that if m'ludship will allow. I call the late Arthur Aldridge.
184,John Cleese,Yes m'lud.
185,John Cleese,I beg your pardon m'lud.
186,John Cleese,Yes* m'lud. Er* well* er* virtually* m'lud.
187,John Cleese,No he's not completely dead m'lud. No. But he's not at all well.
188,John Cleese,Oh* it's purely a precaution m'lud - if I may continue? Mr Aldridge* you were a... you are a stockbroker of 10 Savundra Close* Wimbledon.
189,John Cleese,Mr Aldridge...
190,John Cleese,It means 'yes' m'lud. One knock for 'yes'* and two knocks for 'no'. If I may continue? Mr Aldridge* would it be fair to say that you are not at all well?
191,John Cleese,Ah ha!
192,John Cleese,That will become apparent in one moment m'lud.
193,John Cleese,No further questions m'lud.
194,John Cleese,There are no easy answers in this case m'lud.
195,John Cleese,M'lud the strange* damnable* almost diabolic threads of this extraordinary tangled web of intrigue will shortly m'lud reveal a plot so fiendish* so infernal* so heinous ...
196,John Cleese,Parking offence* schmarking offence* m'lud. We must leave no stone unturned. Call Cardinal Richelieu.
197,John Cleese,A character witness m'lud.
198,Michael Palin,Allo everyone* it's wonderful to be 'ere y'know* I just love your country. London is so beautiful at this time of year.
199,John Cleese,Er* you are Cardinal Armand du Piessis de Richelieu* First Minister of Louis XIII?
200,Michael Palin,Oui.
201,John Cleese,Cardinal* would it be fair to say that you not only built up the centralized monarchy in France but also perpetuated the religious schism in Europe?
202,Michael Palin,That's what they say.
203,John Cleese,Did you persecute the Huguenots?
204,John Cleese,And did you take even sterner measures against the great Catholic nobles who made common cause with foreign foes in defence of their feudal independence?
205,Michael Palin,I sure did that thing.
206,John Cleese,Cardinal. Are you acquainted with the defendant* Harold Larch?
207,Michael Palin,Since I was so high
208,Michael Palin,.
209,John Cleese,Speaking as a Cardinal of the Roman Catholic Church* as First Minister of Louis XIII* and as one of the architects of the modern world already - would you say that Harold Larch was a man of good character?
210,Michael Palin,Listen. Harry is a very wonderful human being.
211,John Cleese,M'lud. In view of the impeccable nature of this character witness may I plead for clemency.
212,Michael Palin,Bonjour Monsieur Dim.
213,Michael Palin,That is correct.
214,Michael Palin,Curse you Inspector Dim. You are too clever for us naughty people.
215,Michael Palin,It's a fair cop.
216,John Cleese,My you're clever Dim. He'd certainly taken me in.
217,John Cleese,NO. 1'
218,John Cleese,The larch. The larch.
219,John Cleese,AND NOW...NO. 1...THE LARCH...AND NOW...'
220,John Cleese,This man is no ordinary man. This is Mr. F. G. Superman. To all appearances* he looks like any other law-abiding citizen.
221,John Cleese,But Mr F. G. Superman has a secret identity...when trouble strikes at any time...at any place...he is ready to become... Bicycle Repair Man!
222,Michael Palin,Hmmmmm. Thinks - this sounds like a job for... Bicycle Repair Man...but how to change without revealing my secret identity?
223,John Cleese,If only Bicycle Repair Man were here!
224,Michael Palin,Yes. Wait! I think I know where I can find him - look over
225,Michael Palin,!
226,John Cleese,Oh look - is it a Stockbroker?
227,John Cleese,See! How he uses a spanner to tighten that nut!
228,Michael Palin,Oh* you don't need to guv* it's all right* it's all in a days work for... Bicycle Repair Man!
229,John Cleese,Yes! Whenever bicycles are broken* or menaced by International Communism* Bicycle Repair Man is ready!
230,John Cleese,Ready to smash the communists* wipe them up* and shove them off the face of the earth...
231,John Cleese,Kill! Kill! Kill! The filthy bastard commies* I hate 'em! I hate 'em! Aaargh! Aaargh!
232,John Cleese,Coming dear!
233,Michael Palin,Hello again* now here's a little sketch by two boys from London town. They've been writing for three years and they've called this little number - here it is* it's called - Restaurant sketch.
234,Michael Palin,Excuse me monsieur and madame.
235,Michael Palin,It's filthy* Gaston ... find out who washed this up* and give them their cards immediately.
236,Michael Palin,Better still* we can't afford to take any chances* sack the entire washing-up staff.
237,Michael Palin,Oh* no please* no trouble. It's quite right that you should point these kind of things out. Gaston* tell the manager what has happened immediately!
238,Michael Palin,Please* it's no fuss. I quite simply wish to ensure that nothing interferes with your complete enjoyment of the meal.
239,Michael Palin,I know. And I'm sorry* bitterly sorry* but I know that... no apologies I can make can alter the fact that in our restaurant you have been given a dirty* filthy* smelly piece of cutlery...
240,Michael Palin,It was smelly* and obscene and disgusting and I hate it* I hate it *.. nasty* grubby* dirty* mingy* scrubby little fork. Oh ... oh . . . oh . . .
241,Michael Palin,Easy* Mungo* easy... Mungo...
242,Michael Palin,the war wound!... the wound... the wound...
243,John Cleese,They've destroyed him! He's dead!! They killed him!!!
244,Michael Palin,Well* there we are then* that was the restaurant sketch* a nice little number...a bit vicious in parts* but a lot of fun...but how about that punch line* eh?...Oh* you know what I mean - oh...oh...really.
245,John Cleese,Good evening* here is the 6 o'clock News read by Michael Queen. It's been a quite day over most of the country as people went back to work after the warmest July weekend for nearly a year. The only high spot of the weekend was the meeting between officials of the NEDC and the ODCN in Bradford today.
246,John Cleese,In Geneva* officials of the Central Clearing Banks met with Herr Voleschtadt of Poland to discuss non-returnable loans on a twelve-year trust basis for the construction of a new zinc-treating works in the Omsk area of Krakow* near the Bulestan border. The Board of Trade has ratified a Trade Agreement with the Soviet Union for the sale of 600 low gear electric sewing machines. The President of the Board of Trade said he hoped this would mark a new area of expansion in world trade and a new spirit of co-operation between East and West. There has been a substantial drop in Gold Reserves during the last twelve months. This follows a statement by the Treasury to the effect that the balance of imports situation had not changed dramatically over the same period.
247,John Cleese,In the match between Glamorgan and Yorkshire* the Yorkshire bowler Nicholson took eight wickets for three runs. Glareorgan were all out for the thirty-six and therefore won the match by an innings and seven runs. Weather for tomorrow will be cloudy with occasional outbreaks of rain. And that is the end of the news.
248,John Cleese,AND NOW'
249,John Cleese,The larch
250,John Cleese,The horse chestnut.
251,John Cleese,Eric ... do you think you could recognize a larch tree?
252,John Cleese,What's your name?
253,Michael Palin,Michael.
254,John Cleese,Michael* do you think you know what a larch tree looks like?
255,Michael Palin,I want to go home.
256,John Cleese,Are there any other trees that any of you think you could recognize from quite a long way away?
257,John Cleese,What?
258,John Cleese,A sketch?
259,Michael Palin,Nudge nudge* Eric's written ...
260,John Cleese,The Larch.
261,Michael Palin,It's...
262,John Cleese,MONTY PYTHON'S FLYING CIRCUS'
263,John Cleese,Allo* Marge!
264,John Cleese,Fancy seeing you! How's little Ralph?
265,John Cleese,Same as my Kevin.
266,John Cleese,Nothing but trouble ... leave it alone! He's just been in the Florentine Room and smeared tomato ketchup all over Raphael's Baby Jesus.
267,John Cleese,Put that Baroque masterpiece down!
268,John Cleese,Just like my Kevin. Show him an exhibition of early eighteenth-century Dresden Pottery and he goes berserk. No* I said no* and I meant no!
269,John Cleese,This morning we were viewing the early Flemish Masters of the Renaissance and Mannerist Schools* when he gets out his black aerosol and squirts Vermeer's Lady At A Window!
270,John Cleese,that if he spits at a painting I'll never take him to an exhibition again.
271,John Cleese,Now don't do a thing with it love* just put it in the bin over there.
272,John Cleese,Yes take my word for it* Marge. Kevin's eaten most of the early nineteenth-century British landscape artists* and I've learned not to worry. As a matter of fact* I feel a bit peckish myself.
273,John Cleese,Yes...
274,John Cleese,No ... I don't know much about art* but I know what I like.
275,Michael Palin,Urgh! I've got Vermeer all down my shirt...
276,Michael Palin,What a terrible joke.
277,Michael Palin,All right! All right! But you didn't have to say it! You could have kept quiet for a change!
278,Michael Palin,Oh* that's typical. Talk talk talk. Natter natter natter!
279,John Cleese,Sir! Good evening* class.
280,John Cleese,Where's all the others* then?
281,John Cleese,I can see that. What's the matter with them?
282,John Cleese,Flu...flu? They should eat more fresh fruit.
283,John Cleese,Right. Now* self-defence. Tonight I shall be carrying on from where we got to last week when I was showing you how to defend yourselves against anyone who attacks you with armed with a piece of fresh fruit.
284,Michael Palin,You promised you wouldn't do fruit this week.
285,John Cleese,What do you mean?
286,John Cleese,What's wrong with fruit? You think you know it all* eh?
287,Michael Palin,But couldn't we do something else* for a change?
288,John Cleese,What?
289,Michael Palin,We done oranges* apples* grapefruits.
290,Michael Palin,Pomegranates* greengages.
291,Michael Palin,Lemons.
292,John Cleese,How about cherries?
293,John Cleese,Red
294,John Cleese,black?
295,John Cleese,All right then...bananas!
296,John Cleese,We haven't done them* have we?
297,John Cleese,Right! Bananas! How to defend yourself against a man armed with a banana.
298,John Cleese,Now* it's quite simple to defend yourself against the banana fiend. First of all* you force him to drop the banana* next* you eat the banana* thus disarming him. You have now rendered him helpless.
299,Michael Palin,Suppose he's got a bunch.
300,John Cleese,Shut up!
301,John Cleese,Shut up. Right now you* Mr Apricot.
302,John Cleese,Harrison* Mr. Harrison. Come at me with that banana then. Come on attack me with it. As hard as you like. Come on.
303,John Cleese,Now...I eat the banana.
304,John Cleese,I have now eaten the banana. The deceased Mr Apricot is now disarmed.
305,Michael Palin,You shot him. You shot him dead.
306,John Cleese,Well* he was attacking me with a banana.
307,John Cleese,Look* I'm only doing me job. I have to show you how to defend yourselves against fresh fruit.
308,John Cleese,Shut up.
309,Michael Palin,Supposing someone came at you with a banana and you haven't got a gun?
310,John Cleese,Run for it.
311,John Cleese,You try that with a pineapple down your windpipe.
312,John Cleese,Where? Where?
313,John Cleese,Oh blimey. I thought my number was on that one.
314,John Cleese,Oh. Oh. Right. That's the banana then. Next... the raspberry.
315,John Cleese,Harmless looking thing* isn't it? Now you* Mr Tinned Peach...
316,John Cleese,Mr Thompson* come at me with that raspberry then. Come on* be as vicious as you like with it.
317,John Cleese,Why not?
318,John Cleese,I won't.
319,John Cleese,That was self-defence. Come on. I promise I won't shoot you.
320,John Cleese,Shut up. Now. Brandish that...brandish that raspberry. Come on* be as vicious as you like with it. Come on.
321,John Cleese,I haven't got a gun.
322,John Cleese,I haven't.
323,John Cleese,Oh...
324,John Cleese,gun.
325,John Cleese,All right.
326,John Cleese,How to defend yourself against a raspberry* without a gun.
327,John Cleese,I wasn't.
328,John Cleese,Wasn't. Come on* come on you worm...you miserable little man. Come at me then...come on* do your worst* you worm.
329,John Cleese,If anyone ever attacks you with a raspberry* simply pull the lever...and a sixteen-ton weight will drop on his head. I learnt that in Malaya.
330,Michael Palin,Suppose you haven't got a sixteen-ton weight?
331,John Cleese,Well that's planning* isn't it? Forethought.
332,Michael Palin,How many sixteen-ton weights are there?
333,John Cleese,Look...look* smarty pants* the sixteen-ton weight is just one way of dealing with the raspberry killer. There are millions of others!
334,John Cleese,Shoot him.
335,Michael Palin,Well* supposing you haven't got a gun or a sixteen-ton weight?
336,John Cleese,All right clever dick* all right clever dick. You two* come at me with raspberries* there you are* a whole basket each. Come on* come at me with them* then.
337,Michael Palin,No gun?
338,John Cleese,No.
339,Michael Palin,No sixteen-ton weight?
340,Michael Palin,No rocks up in the ceiling?
341,Michael Palin,You won't kill us.
342,John Cleese,I won't kill you.
343,Michael Palin,Promise.
344,John Cleese,I promise I won't kill you. Now* are you going to attack me?
345,John Cleese,Right* now don't rush me this time. I'm going to turn me back. So you can stalk me...right. Come up as quietly as you can* right* close up behind me* then* in with the raspberries* right? Start moving
346,John Cleese,Right...I know you're there - lurking under the floorboards with your damsons and your prunes...now* the rest of you - I know you're hiding behind the wall bars with your quinces. Well I'm ready for you. I've wired myself up to two hundred tons of gelignite* and if any one of you so much as tries anything we'll all go up together! I've warned you...I warned you* right. That's it...
347,John Cleese,Yes* you know it's a man's life in England's Mountain Green.
348,John Cleese,What about my rustic monologue?...I'm not sleeping with
349,John Cleese,producer again.
350,John Cleese,Excitement* drama* action* violence* fresh fruit. Passion. Thrills. Spills. Romance. Adventure* all the things you can read about in a book.
351,John Cleese,Er... oh!
352,John Cleese,Oh* well I'm afraid we don't have any.
353,John Cleese,We don't have any books. We're fresh out of them. Good morning.
354,John Cleese,All what? Oh! All these* ah ah ha ha. Your referring to these ... books.
355,John Cleese,They're um ... they're all sold. Good morning.
356,John Cleese,Every single man Jack of them. Not a single one of them in an unsold state. Good morning.
357,John Cleese,What?
358,John Cleese,Oh ... various ... good Lord is that the time? Oh my goodness I must close for lunch.
359,John Cleese,Ah yes* well I feel rather peckish ... very peckish actually* I don't expect I'll open again today. I think I'll have a really good feed. I say! Look at that lovely bookshop just across the road there* they've got a much better selection than we've got* probably at ridiculously low prices ... just across the road there.
360,John Cleese,Good morning.
361,John Cleese,Er .*. oh . .. I was just saying ... thinking of the weather.. I hear the gooseberries are doing well this year... and so are the mangoes.
362,John Cleese,Go on...
363,John Cleese,Go on - mine aren't ... but...
364,John Cleese,Aren't you going to say something about 'mine aren't but the Big Cheese gets his at low tide tonight'?
365,John Cleese,Oh* ah* good morning*
